business,2.75
business,3.093069
business,2.921928
business,2.646439
business,3.521641
business,2.807355
business,2.521641
business,3.418296
business,2.251629
business,3
business,2.947703
business,3.095795
business,3.121928
business,3
business,3.418296
business,2.725481
business,3.121928
business,2.846439
business,2.251629
business,3.238901
business,3.121928
business,2.688722
business,2.751629
business,2.584963
business,2.641604
business,2.807355
business,2.75
business,2.947703
business,2.75
business,2.405639
business,2
business,2.584963
business,2.521641
business,2.5
business,2.947703
business,2.75
business,2.235926
business,3.084963
business,2.75
business,3.251629
business,2.75
business,2.846439
business,2.75
business,2.789898
business,2.251629
business,1.842371
business,3.056565
business,2.789898
business,2.732915
business,2.521641
business,1.905639
business,2.75
business,2.75
business,2.721928
business,3.139572
business,3
business,2.521641
business,2.872906
business,3.006239
business,2.415922
business,2.251629
business,3.095795
business,3.189898
business,2.947703
business,2.235926
business,2.855389
business,2.281036
business,2.405639
business,2.807355
business,3.022055
business,2.721928
business,2.75
business,2.5
business,2.584963
business,2.128085
business,2.947703
business,2.807355
business,2.584963
business,2.75
business,1.792481
business,2.947703
business,3.180833
business,2.521641
business,2.641604
business,2.921928
business,2.584963
business,2.251629
business,2.689246
business,3
business,2.521928
business,2.155639
business,2.521641
business,2.725481
business,3
business,3.106891
business,3.272906
business,2.75
business,3.240224
business,2.641604
business,2.584963
business,2.663533
business,3
business,3.277613
business,2.481715
business,2.251629
business,2.947703
business,2.549255
business,2.75
business,2.921928
business,2.594907
business,2.921928
business,2.947703
business,2.789898
business,3
business,2.5
business,2.5
business,2.947703
business,2.235926
business,2.405639
business,3
business,2.521641
business,2.872906
business,3.027169
business,1.811278
business,2.521641
business,2.405639
business,2.75
business,3
business,2.921928
business,3.321928
business,2.807355
business,3.321928
business,2.947703
business,2.584963
business,2.584963
business,2.446439
business,3
business,2.921928
business,3.280639
business,2.846439
business,2.251629
business,2.75
business,2.251629
business,2.251629
business,2.721928
business,2.789898
business,2.732159
business,3.121928
business,3
business,3.121928
business,3.277613
business,1.918296
business,2.656565
business,3.169925
business,2.584963
business,2.155639
business,2.5
business,2.921928
business,3.056565
business,2.75
business,3.321928
business,2.521641
business,2.155639
business,3
business,2.725481
business,3.006239
business,2.921928
business,2.75
business,2.5
business,2.415922
business,3.026987
business,2.663533
business,3
business,2.521641
business,2.521641
business,2.845351
business,2.503258
business,2.947703
business,2.913977
business,3.169925
business,2.25
business,2.75
business,2.584963
business,2.521641
business,2.725481
business,2.5
business,2.5
business,3.240224
business,2.663533
business,2.689246
business,3.277613
business,2.921928
business,3.70044
business,3.251629
business,2.446439
business,2.5
business,2.75
business,2.646439
business,3.027169
business,2.405639
business,2.251629
business,2.873141
business,2.521641
business,3.182006
business,2.947703
business,3.056565
business,2.725481
business,2.235926
business,2.725481
business,3.459432
